mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
49723,6.4,11.29,15.81,17.07,D
49724,6.4,11.29,15.81,17.07,D
49725,5.86,9.09,9.98,10.2,D
49726,5.86,9.09,9.98,10.2,D
49727,5.86,9.09,9.98,10.2,D
49728,5.86,9.09,9.98,10.2,D
49729,4.43,6.74,7.3,7.3,C
49730,4.43,6.74,7.3,7.3,C
49731,5.81,9.74,14.97,17.61,B
49732,5.81,9.74,14.97,17.61,B
49733,5.81,9.74,14.97,17.61,B
49734,5.81,9.74,14.97,17.61,B
49735,7.05,11.42,12.21,12.21,D
49736,7.13,12.91,20.2,26.2,D
49737,7.13,12.91,20.2,26.2,D
49738,5.9,9.39,9.86,9.99,D
49739,5.9,9.39,9.86,9.99,D
49740,5.9,9.39,9.86,9.99,D
49741,5.9,9.39,9.86,9.99,D
49742,6.41,10.55,12.4,12.56,D
49743,6.41,10.55,12.4,12.56,D
49744,6.53,10.65,12.42,12.5,D
49745,6.53,10.65,12.42,12.5,D
49746,8.26,13.11,13.88,13.88,D
49747,4.84,7.63,8.62,8.72,D
49748,6.45,9.51,10.11,10.24,D
49749,6.45,9.51,10.11,10.24,D
49750,6.45,9.51,10.11,10.24,D
49751,6.45,9.51,10.11,10.24,D
49752,6.45,9.51,10.11,10.24,D
49753,6.77,11.19,12.14,12.27,D
49754,6.77,11.19,12.14,12.27,D
49755,6.77,11.19,12.14,12.27,D
49756,6.77,11.19,12.14,12.27,D
49757,6.77,11.19,12.14,12.27,D
49758,6.28,8.98,12.34,12.41,C
49759,6.34,9.65,14.15,14.36,C
49760,6.34,9.65,14.15,14.36,C
49761,6.34,9.65,14.15,14.36,C
49762,6.34,9.65,14.15,14.36,C
49763,6.34,9.65,14.15,14.36,C
49764,8.15,12.67,16.95,17.58,D
49765,8.15,12.67,16.95,17.58,D
49766,8.15,12.67,16.95,17.58,D
49767,8.15,12.67,16.95,17.58,D
49768,6.31,11.17,15.79,15.79,D
49769,6.31,11.17,15.79,15.79,D
49770,6.31,11.17,15.79,15.79,D
49771,5.5,7.43,8.33,9.01,D
